Time sum_kwh count_users mean_kwh day hour prediction
37139 16099.013 6240 2.579970032051282 371 19 2.5031645042447543
37141 15199.638 6240 2.435839423076923 371 20 2.323348550376421
37143 14103.304 6240 2.260144871794872 371 21 2.1697586096428
37145 12343.561 6240 1.9781347756410257 371 22 1.9474265577446737
37147 11162.952 6240 1.7889346153846153 371 23 1.7726716322280955
37201 8666.207 6240 1.3888152243589744 372 0 1.211198591774684
37203 7076.193 6240 1.1340052884615386 372 1 0.947051368218915
37205 6181.601000000001 6240 0.990641185897436 372 2 0.8416325812129941
37207 5820.25 6240 0.9327323717948718 372 3 0.7996809089454313
37209 5646.409 6240 0.9048732371794872 372 4 0.7823285325652104
37211 5630.248 6240 0.9022833333333332 372 5 0.7899393502960473
37213 6387.284 6240 1.0236032051282051 372 6 0.9807138742198752
37215 8387.161 6240 1.344096314102564 372 7 1.4638489358297329
37217 10022.994 6240 1.6062490384615382 372 8 1.794758361337814
37219 12184.215 6240 1.952598557692308 372 9 1.9163803808609376
37221 13634.684 6240 2.185045512820513 372 10 1.9344933589374296
37223 14161.202 6240 2.2694233974358973 372 11 1.9622445191230595
37225 14531.196 6240 2.328717307692308 372 12 1.982601856297008
37227 14089.551 6240 2.257940865384615 372 13 1.9503149303888625
37229 13814.385 6240 2.21384375 372 14 1.961368859017443
37231 14338.096 6240 2.2977717948717946 372 15 2.0654645543286927
37233 15948.662 6240 2.5558753205128206 372 16 2.4790356857097136
37235 17779.517 6240 2.8492815705128205 372 17 2.873173787806049
37237 17012.884 6240 2.726423717948718 372 18 2.7704608737397987
37239 15842.095 6240 2.5387972756410258 372 19 2.562704272683629
37241 14616.906 6240 2.3424528846153843 372 20 2.3983933429348694
37243 13718.091 6240 2.198412019230769 372 21 2.264599455912946
37245 12091.439 6240 1.9377306089743591 372 22 1.964003200512082
37247 11204.571 6240 1.7956043269230768 372 23 1.655726516242599
37301 8735.771 6240 1.3999633012820514 373 0 1.6280531795611084
37303 7104.194 6240 1.1384926282051282 373 1 1.3592833573602434
37305 6291.659 6240 1.0082786858974355 373 2 1.1329327246516097
37307 5932.553 6240 0.9507296474358974 373 3 0.9791540925836938
37309 5775.821 6240 0.9256123397435896 373 4 0.8780345987506006
37311 5843.176 6240 0.93640641025641 373 5 0.8184613166746757
37313 6580.095 6240 1.054502403846154 373 6 0.8459607560467725
37315 8569.166000000001 6240 1.3732637820512823 373 7 0.8820724010892199
37317 10222.989 6240 1.6382995192307692 373 8 0.9311367932083934
37319 12541.887 6240 2.0099177884615385 373 9 1.1458164344065354
37321 13999.431 6240 2.243498557692308 373 10 1.4575843344545891
37323 14390.931 6240 2.3062389423076923 373 11 1.75626205349992
37325 14586.9 6240 2.337644230769231 373 12 1.9329870254685249
37327 14275.638 6240 2.2877625 373 13 2.032699343264456
37329 13718.133 6240 2.19841875 373 14 1.9110727214480216
37331 13814.003 6240 2.2137825320512823 373 15 1.9150969085375624
37333 15226.017 6240 2.440066826923077 373 16 2.135496395963479
37335 17349.945 6240 2.780439903846154 373 17 2.460072881627423
37337 16848.737 6240 2.700118108974359 373 18 2.432219445779273
37339 15949.625 6240 2.556029647435897 373 19 2.3187477174435367
37341 14610.029 6240 2.341350801282051 373 20 2.1913935607880823
37343 13787.719 6240 2.2095703525641026 373 21 2.098525388435047
37345 12375.866 6240 1.983311858974359 373 22 1.904743392599712
37347 12102.336 6240 1.9394769230769229 373 23 1.7513222809546694
37401 9984.444 6240 1.6000711538461538 374 0 1.4323559186288644
37403 8032.038 6240 1.287185576923077 374 1 1.1353254845426877
37405 6876.2660000000005 6240 1.1019657051282052 374 2 0.9447225692775908
37407 6352.629 6240 1.0180495192307693 374 3 0.8481584174275189
37409 5966.962 6240 0.9562439102564102 374 4 0.8081214159859044
37411 5989.702 6240 0.959888141025641 374 5 0.784695338779433
37413 6252.392 6240 1.0019858974358975 374 6 0.8309018100272304
37415 6898.891 6240 1.1055915064102564 374 7 0.8908238026589781
37417 7882.495 6240 1.2632203525641026 374 8 1.0444007688611243
37419 10161.186 6240 1.6283951923076925 374 9 1.3632075925036042
37421 12507.479 6240 2.004403685897436 374 10 1.6784462598109884
37423 13463.658 6240 2.1576375 374 11 1.874559346468044
37425 14052.772 6240 2.252046794871795 374 12 1.941452346628224
37427 13653.608 6240 2.188078205128205 374 13 1.963798814672433
37429 13326.872 6240 2.1357166666666667 374 14 1.9187068716963
37431 13307.517 6240 2.1326149038461537 374 15 1.928528111484863
37433 14668.916 6240 2.3507878205128203 374 16 2.243670510972289
37435 17312.597 6240 2.7744546474358978 374 17 2.625054300816915
37437 16905.69 6240 2.709245192307692 374 18 2.589873778632068
37439 15991.966 6240 2.562815064102564 374 19 2.479946339900689
37441 14815.139 6240 2.374220993589744 374 20 2.3435274707672598
37443 13691.839 6240 2.194204967948718 374 21 2.1226357520422874
37445 12243.02 6240 1.962022435897436 374 22 1.9128620855358
37447 11795.914 6240 1.8903708333333331 374 23 1.8241888515136957
37501 10003.07 6240 1.6030560897435897 375 0 1.4981926958193177
37503 8202.772 6240 1.314546794871795 375 1 1.180742912061509
37505 7055.388 6240 1.1306711538461538 375 2 0.9988089059746916
37507 6488.005 6240 1.039744391025641 375 3 0.9011680281915746
37509 6126.897 6240 0.9818745192307692 375 4 0.8322433125100112
37511 6004.844999999999 6240 0.9623149038461536 375 5 0.8045351593785038
37513 6141.183 6240 0.9841639423076924 375 6 0.8336535319557905
37515 6521.987 6240 1.0451902243589744 375 7 0.9003226013134711
37517 7124.072 6240 1.141678205128205 375 8 0.9884861444818196
37519 9168.0 6240 1.4692307692307691 375 9 1.2747797533237226
37521 11071.101 6240 1.7742149038461537 375 10 1.5732066314271982
37523 12556.357 6240 2.0122366987179485 375 11 1.8107679000480537
37525 14030.628 6240 2.248498076923077 375 12 2.027969886272625
37527 14027.678 6240 2.2480253205128204 375 13 2.070090181002723
37529 13774.947 6240 2.207523557692308 375 14 1.952823642479577
37531 13358.032 6240 2.1407102564102565 375 15 1.9009956751561747
37533 14350.829 6240 2.29981233974359 375 16 2.103062309786962
37535 16272.16 6240 2.6077179487179487 375 17 2.459002242511613
37537 15924.849 6240 2.5520591346153845 375 18 2.4808724971968603
37539 14899.022 6240 2.3876637820512823 375 19 2.395024347268941
37541 13880.856 6240 2.224496153846154 375 20 2.2751918949223127
37543 13153.232 6240 2.107889743589744 375 21 2.1505883389396123
37545 11726.57 6240 1.8792580128205127 375 22 1.9086708313310905
37547 10887.73 6240 1.7448285256410256 375 23 1.7342899247156816
37601 8821.983 6240 1.413779326923077 376 0 1.3547075789136356
37603 7214.055 6240 1.1560985576923075 376 1 1.082374619452011
37605 6398.447 6240 1.0253921474358971 376 2 0.9331038295145008
37607 6029.244 6240 0.966225 376 3 0.8855861240185868
37609 5796.406999999999 6240 0.928911378205128 376 4 0.8448945681781765
37611 5800.34 6240 0.9295416666666668 376 5 0.843290979009774
37613 6429.96 6240 1.0304423076923075 376 6 0.970579394327832
37615 8017.443999999999 6240 1.2848467948717948 376 7 1.2329682743150137
37617 9638.948 6240 1.5447032051282052 376 8 1.4931714468835122
37619 12278.582 6240 1.9677214743589744 376 9 1.9060511136035891
37621 13717.208 6240 2.198270512820513 376 10 2.1599900656946
37623 14389.427 6240 2.305997916666666 376 11 2.2574794103509053
37625 14999.816 6240 2.4038166666666667 376 12 2.327793622816856
